Instance,UB,ObjValue,ExecutionTime,GAP,Group
VFR30_10_4_Gap,1945,2334,1.216283798,20,Small
VFR30_10_5_Gap,2023,2396,1.182006121,18.43796342,Small
VFR30_10_6_Gap,2043,2350,1.244121075,15.02692119,Small
VFR30_10_7_Gap,1967,2295,1.189815998,16.67513981,Small
VFR30_10_8_Gap,1896,2183,1.28540802,15.1371308,Small
VFR30_10_9_Gap,1908,2206,1.289080143,15.61844864,Small
VFR30_15_10_Gap,2385,2709,1.694639206,13.58490566,Small
VFR30_15_1_Gap,2381,2744,1.949764729,15.24569509,Small
VFR30_15_2_Gap,2318,2723,1.714660168,17.47195858,Small
VFR30_15_3_Gap,2304,2708,1.823605061,17.53472222,Small
VFR30_15_4_Gap,2444,2869,1.878064156,17.38952537,Small
VFR30_15_5_Gap,2423,2800,1.786713839,15.5592241,Small
VFR30_15_6_Gap,2306,2736,1.825180769,18.64700781,Small
VFR30_15_7_Gap,2316,2722,1.787962914,17.53022453,Small
VFR30_15_8_Gap,2366,2841,1.735781193,20.07607777,Small
VFR30_15_9_Gap,2259,2629,1.707187891,16.37892873,Small
VFR30_20_10_Gap,2805,3246,1.103771925,15.72192513,Small
VFR30_20_1_Gap,2643,3075,1.238060951,16.34506243,Small
VFR30_20_2_Gap,2835,3151,1.112681866,11.14638448,Small
VFR30_20_3_Gap,2783,3291,1.115715265,18.25368308,Small
VFR30_20_4_Gap,2680,3054,1.152883053,13.95522388,Small
VFR30_20_5_Gap,2672,3087,1.176197052,15.53143713,Small
VFR30_20_6_Gap,2715,3118,1.189635992,14.84346225,Small
VFR30_20_7_Gap,2712,3134,1.203691959,15.56047198,Small
VFR30_20_8_Gap,2812,3184,1.114895105,13.22901849,Small
VFR30_20_9_Gap,2795,3292,1.118962049,17.78175313,Small
VFR30_5_10_Gap,1637,1773,1.274389029,8.307880269,Small
VFR30_5_1_Gap,1805,1897,1.042351961,5.096952909,Small
VFR30_5_2_Gap,1575,1692,1.35488081,7.428571429,Small
VFR30_5_3_Gap,1673,1825,1.322285891,9.085475194,Small
VFR30_5_4_Gap,1781,1869,1.257099628,4.941044357,Small
VFR30_5_5_Gap,1707,1794,1.276570797,5.096660808,Small
VFR30_5_6_Gap,1875,1934,1.284168959,3.146666667,Small
VFR30_5_7_Gap,1749,1811,1.264830828,3.54488279,Small
VFR30_5_8_Gap,1706,1853,1.051668882,8.616647128,Small
VFR30_5_9_Gap,1735,1842,1.014114857,6.167146974,Small
VFR400_20_10_Gap,21538,24386,17.35339713,13.2231405,Large
VFR400_20_1_Gap,21120,24177,16.61034489,14.47443182,Large
VFR400_20_2_Gap,21457,24485,16.99765587,14.11194482,Large
